PR_ms,QRS_ms,QT_ms,QTc_ms,n_beats
104.66666666666667,133.0,333.0,331.9166666666667,10.833333333333334
129.75,114.0,314.0,176.25,5.333333333333333
123.66666666666667,114.0,314.0,185.75,6.0
118.33333333333333,160.0,360.0,310.9166666666667,9.083333333333334
121.91666666666667,150.0,350.0,350.5833333333333,10.5
140.91666666666666,160.0,360.0,538.1818181818181,4.75
134.41666666666666,150.0,350.0,315.6666666666667,8.083333333333334
112.5,133.0,333.0,237.16666666666666,5.833333333333333
108.0,158.75,346.6666666666667,490.27272727272725,3.5833333333333335
90.66666666666667,150.0,350.0,341.9166666666667,14.666666666666666
136.08333333333334,133.0,333.0,187.0909090909091,5.583333333333333
120.0,160.0,360.0,261.75,7.666666666666667
118.41666666666667,133.0,333.0,315.5,8.5
105.91666666666667,114.0,314.0,309.9166666666667,11.25
101.66666666666667,160.0,360.0,543.2727272727273,4.0
153.16666666666666,150.0,350.0,313.6666666666667,7.0
96.66666666666667,160.0,360.0,261.8181818181818,6.5
64.83333333333333,159.16666666666666,359.5833333333333,482.72727272727275,3.75
125.08333333333333,150.0,350.0,248.0,5.916666666666667
107.41666666666667,150.0,350.0,244.72727272727272,6.833333333333333
126.16666666666667,150.0,350.0,255.1818181818182,6.5
85.41666666666667,150.0,350.0,363.1666666666667,14.0
82.16666666666667,114.0,314.0,339.8333333333333,11.916666666666666
119.66666666666667,160.0,360.0,511.4166666666667,4.5
142.91666666666666,150.0,350.0,313.75,7.25
95.0,160.0,360.0,274.1666666666667,9.0
119.0,160.0,358.3333333333333,542.5454545454545,4.0
75.75,133.0,333.0,332.3333333333333,11.75
135.58333333333334,114.0,314.0,218.9090909090909,8.75
111.5,154.0,354.0,310.5,7.5
97.0,133.0,333.0,333.75,13.666666666666666
104.66666666666667,114.0,314.0,294.8333333333333,10.583333333333334
124.41666666666667,160.0,360.0,515.3333333333334,4.583333333333333
138.58333333333334,150.0,350.0,320.3333333333333,7.0
106.66666666666667,160.0,360.0,290.0,10.416666666666666
137.5,160.0,357.0833333333333,517.2727272727273,4.5
116.66666666666667,133.0,333.0,275.45454545454544,8.5
132.33333333333334,150.0,350.0,200.16666666666666,5.583333333333333
107.41666666666667,150.0,350.0,270.8333333333333,7.75
90.66666666666667,133.0,333.0,328.3636363636364,10.75
123.66666666666667,133.0,333.0,249.91666666666666,6.75
113.0,160.0,360.0,574.6363636363636,4.583333333333333
155.33333333333334,150.0,350.0,291.5,7.166666666666667
83.33333333333333,160.0,360.0,287.4166666666667,8.916666666666666
125.25,160.0,359.0,519.75,4.5
127.75,133.0,333.0,311.5,9.833333333333334
106.5,133.0,333.0,259.54545454545456,7.833333333333333
136.33333333333334,145.0,345.0,300.1818181818182,8.333333333333334
99.08333333333333,150.0,350.0,365.3333333333333,16.0
81.0,114.0,314.0,263.75,6.916666666666667
120.66666666666667,160.0,360.0,541.1666666666666,4.583333333333333
143.91666666666666,150.0,350.0,325.1666666666667,8.166666666666666
116.66666666666667,160.0,360.0,282.3333333333333,9.0
137.5,160.0,362.5,518.2727272727273,3.9166666666666665
134.5,114.0,314.0,267.75,11.083333333333334
118.41666666666667,133.0,333.0,224.25,6.916666666666667
122.33333333333333,133.0,333.0,257.72727272727275,8.25
86.83333333333333,114.0,314.0,269.6666666666667,10.333333333333334
155.58333333333334,133.0,333.0,299.3333333333333,11.083333333333334
82.58333333333333,159.0,354.0,526.6363636363636,4.583333333333333
141.66666666666666,150.0,350.0,302.1666666666667,6.833333333333333
115.0,160.0,360.0,244.5,6.333333333333333
110.41666666666667,160.0,357.5,541.7272727272727,4.25
136.91666666666666,114.0,314.0,227.0,9.916666666666666
120.83333333333333,160.0,360.0,288.1666666666667,6.916666666666667
115.16666666666667,145.0,345.0,305.0,7.916666666666667
73.91666666666667,133.0,333.0,376.5,14.916666666666666
103.58333333333333,114.0,314.0,298.1666666666667,9.166666666666666
90.0,160.0,360.0,530.75,4.416666666666667
148.08333333333334,150.0,350.0,313.75,7.0
96.66666666666667,160.0,360.0,290.75,10.333333333333334
100.33333333333333,160.0,356.6666666666667,512.6363636363636,3.75
175.83333333333334,160.0,360.0,386.5,10.25
123.08333333333333,150.0,350.0,235.91666666666666,5.75
150.0,133.0,333.0,327.0833333333333,10.75
85.0,160.0,360.0,409.1666666666667,17.25
90.41666666666667,114.0,314.0,254.5,8.0
120.08333333333333,160.0,360.0,521.5833333333334,4.75
121.91666666666667,150.0,350.0,316.8333333333333,6.666666666666667
81.66666666666667,160.0,360.0,341.45454545454544,10.0
63.166666666666664,160.0,358.1666666666667,524.0833333333334,4.0
82.33333333333333,150.0,350.0,371.1666666666667,18.166666666666668
126.83333333333333,133.0,333.0,256.9166666666667,8.166666666666666
119.5,133.0,333.0,278.4166666666667,9.083333333333334
109.58333333333333,150.0,350.0,265.0,8.0
74.91666666666667,114.0,314.0,303.25,8.583333333333334
71.41666666666667,160.0,356.25,536.5454545454545,4.083333333333333
136.5,150.0,350.0,310.25,7.25
119.5,133.0,333.0,248.0909090909091,5.916666666666667
117.5,160.0,356.6666666666667,508.0,4.0
110.5,150.0,350.0,296.9166666666667,9.666666666666666
144.16666666666666,160.0,360.0,249.9090909090909,4.083333333333333
139.91666666666666,133.0,333.0,197.33333333333334,6.833333333333333
89.58333333333333,150.0,350.0,259.9166666666667,7.916666666666667
128.25,150.0,350.0,326.5,7.833333333333333
123.66666666666667,160.0,360.0,544.5454545454545,4.5
142.83333333333334,150.0,350.0,319.5,7.166666666666667
106.66666666666667,160.0,360.0,287.3333333333333,9.833333333333334
124.25,160.0,361.25,502.9,3.4166666666666665
111.58333333333333,150.0,350.0,264.27272727272725,6.75
165.0,160.0,360.0,200.08333333333334,6.5
97.08333333333333,133.0,333.0,309.0833333333333,11.583333333333334
125.08333333333333,114.0,314.0,213.91666666666666,7.583333333333333
136.41666666666666,150.0,350.0,272.8333333333333,4.416666666666667
72.0,159.16666666666666,359.0,520.8333333333334,4.083333333333333
140.66666666666666,150.0,350.0,313.8333333333333,7.083333333333333
120.0,160.0,360.0,247.41666666666666,6.75
116.41666666666667,160.0,362.0833333333333,523.0909090909091,4.0
121.83333333333333,150.0,350.0,284.8333333333333,10.083333333333334
140.25,133.0,333.0,217.9,7.083333333333333
110.0,160.0,360.0,302.5833333333333,8.166666666666666
74.83333333333333,133.0,333.0,402.9,15.416666666666666
111.91666666666667,114.0,314.0,291.0833333333333,11.083333333333334
141.08333333333334,158.75,358.75,524.8333333333334,5.083333333333333
133.41666666666666,150.0,350.0,298.0833333333333,6.583333333333333
138.33333333333334,160.0,360.0,295.75,10.25
144.33333333333334,160.0,357.5,516.4545454545455,4.333333333333333
97.91666666666667,150.0,350.0,362.8333333333333,13.666666666666666
97.5,114.0,314.0,184.36363636363637,5.333333333333333
120.16666666666667,133.0,333.0,290.09090909090907,7.166666666666667
140.0,160.0,360.0,329.9166666666667,10.083333333333334
107.16666666666667,114.0,314.0,309.6666666666667,10.416666666666666
139.0,160.0,360.0,548.4166666666666,4.833333333333333
118.75,150.0,350.0,304.1666666666667,7.166666666666667
115.0,160.0,360.0,305.1818181818182,8.333333333333334
96.91666666666667,159.83333333333334,358.1666666666667,479.9,3.6666666666666665
129.66666666666666,133.0,333.0,267.0,7.916666666666667
134.41666666666666,150.0,350.0,258.6666666666667,8.583333333333334
102.75,133.0,333.0,262.75,7.916666666666667
124.08333333333333,133.0,333.0,285.8333333333333,9.583333333333334
115.0,160.0,360.0,271.0,8.333333333333334
84.33333333333333,160.0,358.1666666666667,535.0833333333334,4.5
143.83333333333334,150.0,350.0,332.1666666666667,7.416666666666667
91.75,133.0,333.0,247.41666666666666,5.75
95.41666666666667,159.83333333333334,357.25,483.4166666666667,4.166666666666667
118.91666666666667,114.0,314.0,208.33333333333334,8.166666666666666
